#ticks	median	decon
439 	 2.66868 	 -2.3854e-06
440 	 2.49247 	 -2.39696e-06
441 	 1.46241 	 -2.40823e-06
442 	 2.05901 	 -2.41872e-06
443 	 2.19784 	 -2.43056e-06
444 	 4.14463 	 -2.44208e-06
445 	 5.33109 	 -2.45365e-06
446 	 5.46587 	 -2.46437e-06
447 	 5.65386 	 -2.47459e-06
448 	 5.84988 	 -2.48555e-06
449 	 6.37731 	 -2.49914e-06
450 	 6.70314 	 -2.50983e-06
451 	 5.85872 	 -2.52295e-06
452 	 5.53942 	 -2.53636e-06
453 	 5.29251 	 -2.54434e-06
454 	 2.8282 	 -2.55783e-06
455 	 2.33644 	 -2.56908e-06
456 	 1.2042 	 -2.58195e-06
457 	 1.72975 	 -2.59395e-06
458 	 1.73881 	 -2.60524e-06
459 	 1.04336 	 -2.61803e-06
460 	 1.57867 	 -2.62876e-06
461 	 0.723515 	 -2.64144e-06
462 	 0.597298 	 -2.65326e-06
463 	 0.419116 	 -2.66584e-06
464 	 -0.345529 	 -2.67684e-06
465 	 -1.10961 	 -2.69063e-06
466 	 -2.02618 	 -2.70367e-06
467 	 -1.15044 	 -2.71581e-06
468 	 -1.1505 	 -2.72924e-06
469 	 -1.65689 	 -2.7415e-06
470 	 -1.12077 	 -2.75286e-06
471 	 -0.732062 	 -2.76748e-06
472 	 -0.138188 	 -2.78026e-06
473 	 0.483327 	 -2.79361e-06
474 	 -0.163112 	 -2.80615e-06
475 	 0.191502 	 -2.81886e-06
476 	 0.30542 	 -2.83253e-06
477 	 0.868396 	 -2.84471e-06
478 	 1.99399 	 -2.8584e-06
479 	 1.84461 	 -2.87124e-06
480 	 1.74544 	 -2.88457e-06
481 	 1.14149 	 -2.89836e-06
482 	 0.886869 	 -2.91173e-06
483 	 2.16073 	 -2.92548e-06
484 	 1.98967 	 -2.93758e-06
485 	 1.93756 	 -2.95383e-06
486 	 3.31456 	 -2.96793e-06
487 	 2.11798 	 -2.97912e-06
488 	 2.01498 	 -2.99408e-06
489 	 2.6324 	 -3.00918e-06
490 	 2.59626 	 -3.02474e-06
491 	 3.70096 	 -3.03878e-06
492 	 3.32609 	 -3.04931e-06
493 	 2.90018 	 -3.06604e-06
494 	 2.73356 	 -3.07941e-06
495 	 3.11236 	 -3.09382e-06
496 	 2.54646 	 -3.10721e-06
497 	 2.10599 	 -3.12205e-06
498 	 3.36952 	 -3.13507e-06
499 	 2.69557 	 -3.15036e-06
500 	 2.58883 	 -3.16566e-06
501 	 2.51262 	 -3.17963e-06
502 	 1.22404 	 -3.19477e-06
503 	 2.16081 	 -3.20939e-06
504 	 2.03537 	 -3.22423e-06
505 	 0.664412 	 -3.23915e-06
506 	 2.12307 	 -3.25567e-06
507 	 0.752647 	 -3.27015e-06
508 	 1.1753 	 -3.28817e-06
509 	 0.555642 	 -3.30089e-06
510 	 -0.513466 	 -3.31748e-06
511 	 -0.649511 	 -3.33027e-06
512 	 -0.0314598 	 -3.34734e-06
513 	 -0.0926571 	 -3.36416e-06
514 	 -0.144626 	 -3.37837e-06
515 	 0.305091 	 -3.39517e-06
516 	 0.154595 	 -3.4109e-06
517 	 -0.424598 	 -3.42717e-06
518 	 -0.170665 	 -3.44372e-06
519 	 -0.357501 	 -3.45827e-06
520 	 0.712372 	 -3.47504e-06
